questionid,filename,answer
1,Question1.png,A
2,Question2.png,A
3,Question3.png,a
4,Question4.png,A
5,Question5.png,A
6,Question6.png,B
7,Question7.png,B
8,Question8.png,B
9,Question9.png,B
10,Question10.png,b
11,Question11.png,b
12,Question12.png,B
13,Question13.png,b
14,Question14.png,C
15,Question15.png,C
16,Question16.png,C
17,Question17.png,C
18,Question18.png,C
19,Question19.png,c
20,Question20.png,C
21,Question21.png,d
22,Question22.png,D
23,Question23.png,C
24,Question24.png,A
25,Question25.png,A
26,Question26.png,A
27,Question27.png,A
28,Question28.png,A
29,Question29.png,A
30,Question30.png,A
31,Question31.png,A
32,Question32.png,A
33,Question33.png,B
34,Question34.png,B
35,Question35.png,B
36,Question36.png,B
37,Question37.png,B
38,Question38.png,B
39,Question39.png,b
40,Question40.png,b
41,Question41.png,b
42,Question42.png,B
43,Question43.png,C
44,Question44.png,C
45,Question45.png,C
46,Question46.png,C
47,Question47.png,C
48,Question48.png,C
49,Question49.png,C
50,Question50.png,C
51,Question51.png,C
52,Question52.png,C
53,Question53.png,D
54,Question54.png,D
55,Question55.png,D
56,Question56.png,D
57,Question57.png,D
58,Question58.png,D
59,Question59.png,A
60,Question60.png,A
61,Question61.png,A
62,Question62.png,A
63,Question63.png,A
64,Question64.png,B
65,Question65.png,B
66,Question66.png,B
67,Question67.png,B
68,Question68.png,B
69,Question69.png,B
70,Question70.png,B
71,Question71.png,B
72,Question72.png,C
73,Question73.png,C
74,Question74.png,C
75,Question75.png,C
76,Question76.png,C
77,Question77.png,D
78,Question78.png,D
79,Question79.png,D
80,Question80.png,D
81,Question81.png,ABD
82,Question82.png,BC
83,Question83.png,A
84,Question84.png,A
85,Question85.png,B
86,Question86.png,B
87,Question87.png,B
88,Question88.png,B
89,Question89.png,B
90,Question90.png,B
91,Question91.png,B
92,Question92.png,B
93,Question93.png,B
94,Question94.png,C
95,Question95.png,C
96,Question96.png,C
97,Question97.png,C
98,Question98.png,C
99,Question99.png,D
100,Question100.png,D
