questionid,filename,answer
1,Question1,A
2,Question2,D
3,Question3,BC
4,Question4,A
5,Question5,D
6,Question6,C
7,Question7,C
8,Question8,D
9,Question9,B
10,Question10,C
11,Question11,A
12,Question12,A
13,Question13,C
14,Question14,B
15,Question15,A
16,Question16,B
17,Question17,B
18,Question18,A
19,Question19,B
20,Question20,A
21,Question21,B
22,Question22,C
23,Question23,B
24,Question24,B
25,Question25,B
26,Question26,D
27,Question27,A
28,Question28,B
29,Question29,A
30,Question30,C
31,Question31,C
32,Question32,A
33,Question33,D
34,Question34,B
35,Question35,A
36,Question36,B
37,Question37,D
38,Question38,C
39,Question39,C
40,Question40,B
41,Question41,B
42,Question42,B
43,Question43,C
44,Question44,C
45,Question45,ABD
46,Question46,B
47,Question47,D
48,Question48,A
49,Question49,C
