questionid,filename,answer
1,Question1,C
2,Question2,B
3,Question3,A
4,Question4,A
5,Question5,C
6,Question6,B
7,Question7,C
8,Question8,B
9,Question9,B
10,Question10,B
11,Question11,A
12,Question12,B
13,Question13,B
14,Question14,A
15,Question15,C
16,Question16,A
17,Question17,C
18,Question18,BC
19,Question19,B
20,Question20,A
21,Question21,B
22,Question22,C
23,Question23,A
24,Question24,C
25,Question25,B
26,Question26,B
27,Question27,C
28,Question28,C
29,Question29,D
30,Question30,A
31,Question31,C
32,Question32,A
33,Question33,B
34,Question34,A
35,Question35,C
36,Question36,B
37,Question37,B
38,Question38,D
39,Question39,A
40,Question40,C
41,Question41,B
42,Question42,A
43,Question43,B
44,Question44,C
45,Question45,B
46,Question46,B
47,Question47,A
48,Question48,D
49,Question49,D
50,Question50,B
51,Question51,B
52,Question52,B
53,Question53,C
54,Question54,C
55,Question55,A
56,Question56,B
57,Question57,B
58,Question58,D
59,Question59,C
60,Question60,C
