questionid,filename,answer
1,Question1,B
2,Question2,C
3,Question3,C
4,Question4,B
5,Question5,B
6,Question6,B
7,Question7,B
8,Question8,A
9,Question9,D
10,Question10,A
11,Question11,D
12,Question12,D
13,Question13,A
14,Question14,BD
15,Question15,B
16,Question16,D
17,Question17,A
18,Question18,A
19,Question19,A
20,Question20,A
21,Question21,D
22,Question22,C
23,Question23,C
24,Question24,A
25,Question25,C
26,Question26,A
27,Question27,D
28,Question28,B
29,Question29,C
30,Question30,B
31,Question31,B
32,Question32,A
33,Question33,A
34,Question34,BC
35,Question35,BC
36,Question36,D
37,Question37,A
38,Question38,B
39,Question39,C
40,Question40,D
41,Question41,C
42,Question42,A
43,Question43,D
44,Question44,D
45,Question45,B
46,Question46,B
47,Question47,B
48,Question48,B
49,Question49,C
50,Question50,A
51,Question51,B
52,Question52,C
53,Question53,A
54,Question54,C
55,Question55,B
56,Question56,B
57,Question57,A
58,Question58,A
59,Question59,B
60,Question60,C
