question,filename,answer
1,Question1,C
2,Question2,A
3,Question3,A
4,Question4,A
5,Question5,A
6,Question6,A
7,Question7,B
8,Question8,C
9,Question9,C
10,Question10,B
11,Question11,C
12,Question12,B
13,Question13,D
14,Question14,A
15,Question15,A
16,Question16,C
17,Question17,A
18,Question18,B
19,Question19,A
20,Question20,A
21,Question21,A
22,Question22,A
23,Question23,D
24,Question24,A
25,Question25,C
26,Question26,C
27,Question27,A
28,Question28,D
29,Question29,B
30,Question30,C
31,Question31,A
32,Question32,B
33,Question33,B
34,Question34,D
35,Question35,A
36,Question36,D
37,Question37,A
38,Question38,D
39,Question39,A
40,Question40,D
41,Question41,A
42,Question42,A
43,Question43,A
44,Question44,B
45,Question45,B
46,Question46,B
47,Question47,C
48,Question48,C
49,Question49,C
50,Question50,A
