question,filename,answer
1,Question1.webp,D
2,Question2.webp,D
3,Question3.webp,A
4,Question4.webp,B
5,Question5.webp,A
6,Question6.webp,C
7,Question7.webp,A
8,Question8.webp,D
9,Question9.webp,D
10,Question10.webp,C
11,Question11.webp,C
12,Question12.webp,B
13,Question13.webp,A
14,Question14.webp,C
15,Question15.webp,A
16,Question16.webp,C
17,Question17.webp,C
18,Question18.webp,D
19,Question19.webp,B
20,Question20.webp,B
21,Question21.webp,A
22,Question22.webp,B
23,Question23.webp,A
24,Question24.webp,B
25,Question25.webp,C
26,Question26.webp,D
27,Question27.webp,A
28,Question28.webp,C
29,Question29.webp,A
30,Question30.webp,D
31,Question31.webp,B
32,Question32.webp,B
33,Question33.webp,B
34,Question34.webp,A
35,Question35.webp,A
36,Question36.webp,B
37,Question37.webp,C
38,Question38.webp,A
39,Question39.webp,B
40,Question40.webp,B
41,Question41.webp,C
42,Question42.webp,A
43,Question43.webp,C
44,Question44.webp,C
45,Question45.webp,A
46,Question46.webp,A
47,Question47.webp,A
48,Question48.webp,A
49,Question49.webp,C
50,Question50.webp,AC
